fid,gndvi_1,gndvi_2,gndvi_3,gndvi_4,gndvi_5,gndvi_6,gndvi_7
316,0.2480934,0.174824291,0.178601081,0.365718144,0.311505251,0.261961727,0.2043817
317,0.25642767,0.159090503,0.160325922,0.408099473,0.335851325,0.296888478,0.205945998
318,0.15673489,0.143577891,0.143868344,0.162610966,0.167689291,0.170148332,0.14422568
319,0.179294622,0.180318133,0.326863227,0.202390754,0.231058472,0.230437194,0.208120287
320,0.157744142,0.146390988,0.135888594,0.153188776,0.157207149,0.161649953,0.135629258
321,0.255701989,0.192268164,0.214637764,0.37771768,0.29893828,0.265064285,0.205227859
322,0.216198825,0.198049574,0.213797534,0.340347679,0.299604775,0.250089374,0.200226698
323,0.233046134,0.159973807,0.157710811,0.35811243,0.313469475,0.272857983,0.200226796
324,0.25511449,0.165132365,0.187657523,0.362118997,0.327838239,0.297287954,0.225431264
325,0.291623067,0.179701018,0.203918568,0.408854838,0.344623049,0.314947836,0.258193338
326,0.217567363,0.17381062,0.156199025,0.286664232,0.282232436,0.275935974,0.242600667
327,0.259675752,0.164492503,0.18109854,0.309611814,0.2634247,0.254681538,0.221666843
328,0.295837019,0.163570043,0.188307526,0.419472088,0.377017217,0.341201977,0.27381816
329,0.224386248,0.135028793,0.191132922,0.358886574,0.268003796,0.224274044,0.161025132
330,0.256241372,0.143447732,0.147631713,0.426309937,0.344542715,0.301202088,0.211320959
331,0.298537274,0.158597355,0.144940734,0.426714183,0.385579996,0.349592529,0.280747747
332,0.275938203,0.138755337,0.148918626,0.391956617,0.337391577,0.303763869,0.239760309
333,0.270115569,0.154982678,0.195212948,0.353119901,0.331324174,0.303605952,0.238968198
334,0.256815112,0.155614578,0.168607239,0.377700085,0.315703535,0.287559108,0.217367549
335,0.205729832,0.179593817,0.204742278,0.275099271,0.248834433,0.233988594,0.190917917
336,0.265693428,0.22963435,0.219302504,0.36089544,0.305862244,0.281626906,0.233135163
337,0.179335837,0.200744737,0.244793347,0.319645014,0.301128778,0.266793756,0.227438351
338,0.266381319,0.238704114,0.245919555,0.355493421,0.317708384,0.28901095,0.238085809
339,0.283338481,0.176786432,0.198951027,0.403369587,0.345198657,0.309259254,0.226199995
340,0.202641756,0.19546138,0.197814791,0.324480345,0.284909964,0.258279278,0.200031713
341,0.247911294,0.174489549,0.181583505,0.346708713,0.300455375,0.265710937,0.206981597
342,0.254340433,0.163275891,0.173937766,0.394887849,0.326887636,0.278523049,0.211348441
