fid,nbr_1,nbr_2,nbr_3,nbr_4,nbr_5,nbr_6,nbr_7
207,0.172360153,0.032376367,0.004272469,0.27256219,0.24018543,0.196565157,0.182877398
208,0.214258302,0.124969026,0.148282593,0.246626308,0.292861965,0.222308301,0.234840281
209,0.144409629,0.043533374,0.000752876,0.279624925,0.214505423,0.210513564,0.169843234
210,0.103374532,0.129371512,0.001286601,0.084242954,0.137511184,0.124451271,0.071445893
211,0.166064222,0.021277273,-0.011604914,0.326235334,0.240919854,0.193220831,0.15192877
212,0.13711416,-0.023179273,-0.03963644,0.253592695,0.194319531,0.141446432,0.119838882
213,0.13940439,0.009854922,-0.04042613,0.226450372,0.275215119,0.243220951,0.201588071
214,0.265456561,0.025447089,0.041455172,0.419598742,0.339087103,0.303068291,0.246791559
215,0.124725501,-0.036874632,-0.051811731,0.251592861,0.191671535,0.203700451,0.142252965
216,0.179643018,0.006548589,0.048574868,0.335524126,0.225844594,0.177002557,0.149281575
217,0.125612911,0.077367557,0.056194141,0.201504932,0.230866759,0.150476491,0.134645674
218,0.010415773,-0.070588584,-0.049848214,0.106483876,0.0765129,0.064765624,0.055091464
219,0.206266211,0.008561183,0.061718407,0.284540358,0.24758007,0.234135696,0.198955762
220,0.164454331,0.046766006,-0.007341148,0.272381391,0.237235512,0.211495333,0.172940562
221,0.172713076,-0.008148841,-0.015657349,0.289058226,0.212501694,0.190878396,0.160411912
222,0.210393647,0.008504717,-0.030990305,0.328838562,0.262624587,0.226005232,0.192165617
223,0.200241172,-0.023352976,0.013474308,0.331726573,0.286096723,0.248155953,0.201436742
224,0.213056489,-0.023212923,-0.025492047,0.328587089,0.292323315,0.26758513,0.206906564
225,0.10295725,0.102941152,-0.000474243,0.120765888,0.162129117,0.078605959,0.056581825
226,0.210546341,-0.002398349,0.066454639,0.303769496,0.291637625,0.260219113,0.223110688
227,0.114238467,-0.015881246,-0.005966029,0.318292043,0.202747512,0.130143585,0.118122395
228,0.233582321,0.005016052,0.003480473,0.409950081,0.338722998,0.291666207,0.217036572
229,0.10735041,0.021168053,0.049592703,0.191968382,0.170020749,0.187143112,0.123507368
230,0.078859886,0.064580591,0.004832303,0.162061046,0.174047113,0.144434042,0.11764604
231,0.114531702,-0.051594297,-0.009476427,0.242196128,0.190402597,0.174121952,0.156882147
232,0.246452162,0.005809449,-0.020042741,0.374761411,0.327954969,0.281929345,0.214366422
233,0.126007624,-0.035486363,0.021266349,0.237257092,0.150972178,0.167682415,0.110748241
234,0.101728714,0.031929776,0.00986891,0.222599094,0.179543674,0.117889185,0.121415739
235,0.189345421,0.056363306,0.105974422,0.292748639,0.254302295,0.208321456,0.156892087
236,-0.016094197,0.081253129,-0.023175132,-0.01573608,0.079449829,0.064568571,0.059057556
237,-0.038816398,-0.048880572,0.015463626,0.053205381,0.173621988,0.133238941,0.056474484
238,0.059895719,0.006552114,-0.017942144,0.128165878,0.132967681,0.117644978,0.088420752
239,-0.070911426,0.045426846,0.021723581,0.026353007,-0.012725663,-0.018728185,0.001431409
240,0.156473573,-0.023052754,0.034532396,0.343355649,0.25189122,0.221273647,0.159261067
241,0.256339966,-0.007629504,0.03068467,0.40428235,0.334693256,0.291747252,0.228179654
242,0.156326441,-0.016238041,0.040407057,0.310439935,0.267509626,0.251643766,0.203659507
243,0.21473896,0.0080141,0.050940249,0.389524844,0.293102103,0.224830196,0.176313449
244,0.170560398,0.029398909,0.046425792,0.225102497,0.258421244,0.190609171,0.136382291
245,0.122206828,0.076071671,-0.011793765,0.28894183,0.233761632,0.197600557,0.13516225
246,0.175208265,-0.041042616,-0.024424605,0.310983629,0.219028845,0.185672182,0.153118183
247,0.17587908,-0.013441071,0.005040105,0.281076785,0.251179635,0.17335379,0.136113624
248,0.103561811,0.170861128,0.170903273,0.1433519,0.074334073,0.03703087,0.032342698
249,0.213009449,0.072043063,-0.001218981,0.315609967,0.244657187,0.213091019,0.16852069
250,0.111323749,-0.004291219,-0.000938289,0.299604497,0.218644985,0.171049984,0.125076418
251,0.047026227,-0.012424551,-0.106100696,0.071119073,-0.055704505,-0.037270745,0.088300401
252,0.208207709,-0.007871714,0.00864452,0.322519896,0.258551651,0.236797583,0.20591222
253,0.1899744,0.137317211,0.162612468,0.302640507,0.254994694,0.232799382,0.199672148
254,0.11342315,-0.047684868,-0.052973375,0.16431603,0.160833412,0.125085866,0.093249136
255,0.152301764,-0.001131964,0.018135557,0.28870209,0.242785496,0.193039968,0.140958983
256,0.144170117,-0.013822324,0.007996673,0.293896124,0.24643095,0.205944263,0.152236287
257,0.163749442,-0.038093794,-0.054948426,0.296776848,0.243511825,0.210030573,0.163190357
258,0.227436439,0.002951794,-0.02757462,0.370305644,0.301622203,0.258809064,0.196206376
259,0.09330262,0.028624049,0.05380694,0.264538656,0.221925053,0.190750985,0.142836438
