fid,savi_1,savi_2,savi_3,savi_4,savi_5,savi_6,savi_7
174,0.447597417,0.230576709,0.293977172,0.660544326,0.582270674,0.486631284,0.400733409
175,0.376629315,0.255872931,0.342524023,0.652779006,0.570066456,0.533435098,0.446043189
176,0.507005221,0.239024867,0.264484228,0.684106288,0.597330585,0.53322002,0.417868915
177,0.367283467,0.27302417,0.222874135,0.54740267,0.453346604,0.389948615,0.347823531
178,0.325523694,0.211337171,0.207185336,0.613269778,0.498473155,0.442336216,0.359294956
179,0.434722096,0.262136403,0.302219184,0.639072285,0.548629032,0.484327714,0.42278439
180,0.379709127,0.270145568,0.171624203,0.491597572,0.461888039,0.430227041,0.390400789
181,0.351842514,0.29059084,0.266930664,0.69115507,0.482981372,0.423839266,0.34736494
182,0.386237479,0.200882516,0.233822609,0.666992323,0.497983622,0.362524902,0.267594724
183,0.432702076,0.234201105,0.173886117,0.688425454,0.582559287,0.517645411,0.438753559
184,0.236806217,0.228998151,0.302915387,0.29416448,0.228061435,0.292140713,0.246388036
185,0.346572196,0.19328603,0.181677874,0.550816343,0.448124764,0.394000444,0.355581707
186,0.369465774,0.271624802,0.293187325,0.53933239,0.507705329,0.414263329,0.348405078
187,0.345675343,0.270013701,0.250665541,0.653889787,0.501307476,0.432784014,0.328855682
188,0.37915254,0.235543504,0.244549076,0.604304286,0.50592308,0.420326577,0.358162495
189,0.432555711,0.191329291,0.215743773,0.617026936,0.543518652,0.508890099,0.451492276
190,0.391950329,0.242778375,0.266648258,0.56066604,0.528789245,0.418458255,0.368054028
191,0.38177128,0.202614273,0.261978903,0.665993982,0.556712942,0.49882338,0.397497157
192,0.380158029,0.23115705,0.268235933,0.618690289,0.52298629,0.444883482,0.381160401
193,0.212932158,0.270745013,0.168173477,0.276271034,0.262159073,0.269416302,0.240049222
194,0.279366207,0.203295457,0.192340011,0.364675725,0.359966509,0.331747051,0.286495381
195,0.288557176,0.2341647,0.21089342,0.428620168,0.377342771,0.328695534,0.279510895
196,0.401905729,0.379348143,0.293686251,0.590429436,0.510087252,0.441108265,0.368714469
197,0.285482094,0.307753325,0.254249299,0.433629894,0.368247087,0.327842362,0.253894225
198,0.393027613,0.222457517,0.245913955,0.627628242,0.550151093,0.474970987,0.391062206
199,0.329065848,0.21690081,0.241323666,0.595374593,0.440165777,0.347964979,0.303356419
200,0.391264783,0.31125836,0.32035349,0.605320533,0.539188065,0.452113242,0.382571148
201,0.314405069,0.218058134,0.226346158,0.537002937,0.458368682,0.393069832,0.316158642
202,0.318827773,0.244220446,0.22050216,0.552861065,0.510444919,0.468954638,0.383937478
203,0.343966316,0.227035373,0.157082891,0.649998004,0.497327407,0.43169748,0.356474089
204,0.296436695,0.272986472,0.219266371,0.461999059,0.418513197,0.365348802,0.277809693
205,0.391347598,0.224339224,0.182943191,0.537490816,0.470333244,0.440221785,0.38589846
206,0.37764476,0.323123845,0.340737809,0.54131601,0.475920815,0.398585171,0.350666363
