fid,ndmi_1,ndmi_2,ndmi_3,ndmi_4,ndmi_5,ndmi_6,ndmi_7
166,0.084562591,-0.101057927,-0.083280702,0.216372493,0.164656313,0.125990285,0.09590406
167,0.06322618,-0.072738978,-0.089742142,0.204944373,0.137086021,0.091957213,0.054631913
168,0.063250987,-0.070379282,-0.042792381,0.242330431,0.16861787,0.136911308,0.055835264
169,0.0848873,-0.052739774,0.004941237,0.195405291,0.159508539,0.121029719,0.077649957
170,0.089405114,-0.0857216,-0.095972145,0.175651173,0.116451409,0.100896839,0.084050079
171,0.135904882,-0.070815855,-0.109845939,0.265418403,0.189606653,0.150126691,0.104686015
172,0.101235576,-0.039769569,-0.055219301,0.236406772,0.138197424,0.114349406,0.082767921
173,0.10608269,-0.080431683,-0.025627383,0.242560232,0.188632976,0.162924236,0.124109038
174,0.115460058,-0.080202564,-0.028520555,0.233055713,0.175112746,0.120010866,0.082578338
175,0.076737582,-0.057390336,0.018392155,0.251124425,0.187575745,0.170453204,0.123788107
176,0.176698152,-0.084643852,-0.056008171,0.259515799,0.202767527,0.178910941,0.148548332
177,0.066965451,-0.044257847,-0.097935139,0.13376798,0.118996156,0.053178591,0.042705056
178,0.015074649,-0.078998867,-0.073926726,0.189731208,0.102997945,0.078627596,0.047285052
179,0.108618224,-0.044834234,-0.009045882,0.216521561,0.15581606,0.127351311,0.092200418
180,0.062199277,-0.040998215,-0.058658523,0.11279542,0.10312342,0.069680472,0.068518493
181,0.063505327,0.001025939,-0.009840937,0.263229268,0.119129738,0.085619678,0.042319603
182,0.078690368,-0.071296171,-0.039850619,0.242544206,0.134372623,0.065429793,0.025613479
183,0.102980346,-0.056803748,-0.079339489,0.249989905,0.176499529,0.141695488,0.09375189
184,-0.07030397,-0.108047244,-0.016550767,-0.026567816,-0.06767126,-0.040016304,-0.082338161
185,0.052507433,-0.116242397,-0.091775528,0.15363863,0.098107519,0.065640581,0.054108175
186,0.056103597,-0.055763468,-0.020621158,0.150139908,0.115787858,0.060439995,0.043754397
187,0.058082731,-0.026950632,-0.042332166,0.231230779,0.120492291,0.083431856,0.031014571
188,0.076502092,-0.065705799,-0.063971495,0.192583936,0.131108109,0.0900512,0.074044574
189,0.123273051,-0.098559444,-0.082367251,0.20350374,0.15426087,0.141272774,0.107096143
190,0.075964398,-0.072686217,-0.036276328,0.165653585,0.132644665,0.062789303,0.045206146
191,0.077516361,-0.086036027,-0.048722645,0.244328482,0.168599391,0.142704958,0.081806655
192,0.086863752,-0.076462206,-0.051048888,0.21510059,0.142220818,0.085403945,0.068717437
193,-0.082598426,-0.047564743,-0.106831932,-0.052592982,-0.057537224,-0.049444013,-0.060454809
194,-0.016791725,-0.097658351,-0.098806887,0.015550575,0.032742665,0.016977351,0.001269217
195,0.024647004,-0.068750717,-0.083554662,0.100026404,0.03112622,0.013497142,0.008530576
196,0.101924769,0.082529082,0.028097374,0.194816726,0.144506158,0.115358251,0.087191613
197,-0.008228721,-0.016518081,-0.054796528,0.066179611,0.03673967,0.002905655,-0.024746703
198,0.095473142,-0.087354071,-0.069850031,0.207604147,0.161859497,0.123312301,0.078720517
199,0.030781683,-0.077466827,-0.053044339,0.189231811,0.084420367,0.032329128,0.014346028
200,0.080667304,-0.00677758,0.001732984,0.183780996,0.138285819,0.097258354,0.061118319
201,0.018287164,-0.083003563,-0.07951907,0.148103685,0.106143281,0.065218631,0.032324123
202,0.049063596,-0.086203502,-0.096628369,0.162282195,0.13943625,0.11811901,0.089595736
203,0.06131397,-0.061774994,-0.040253062,0.2372469,0.132288084,0.103868076,0.05512121
204,0.006689162,-0.046127313,-0.067093819,0.090519236,0.056567515,0.029427981,0.056394906
205,0.085416328,-0.083617552,-0.092555999,0.156861039,0.104756093,0.096578006,0.073500029
206,0.051133625,0.009101251,0.021444356,0.135694322,0.103369446,0.058716426,0.033500805
207,0.072347546,-0.050997801,-0.070237733,0.16584309,0.121054554,0.081099872,0.077485125
208,0.102258072,0.031749671,0.06031575,0.131691471,0.16364327,0.090805355,0.116017917
209,0.055866745,-0.03270588,-0.055573501,0.176767127,0.1074843,0.105204825,0.071719268
210,0.010808724,0.030703225,-0.077711643,-0.008581899,0.024714628,0.016588151,-0.030193033
211,0.072452687,-0.054244847,-0.078778516,0.214440834,0.127446004,0.086314097,0.051896969
212,0.04757986,-0.102517643,-0.104364015,0.15563975,0.094508611,0.045055153,0.027562312
213,0.062904713,-0.070684767,-0.099324352,0.133843769,0.16108935,0.13506677,0.10264502
214,0.150305541,-0.066332146,-0.039289299,0.291190931,0.200774124,0.172992176,0.130870092
215,0.030730158,-0.107696094,-0.118385914,0.134218427,0.076785773,0.090329357,0.041975218
216,0.079667181,-0.077429063,-0.027375261,0.219919686,0.114028181,0.070737681,0.049475017
217,0.031209308,-0.014007721,-0.02073324,0.09713662,0.106204593,0.034999567,0.031611661
218,-0.047644878,-0.116497458,-0.097583993,0.029660805,-0.013394333,-0.022838927,-0.026354029
219,0.106036606,-0.067468028,-0.016865932,0.17412352,0.12346815,0.118617718,0.095591885
220,0.06845855,-0.039709167,-0.062747162,0.1642001,0.122332671,0.101531691,0.071825435
221,0.090775292,-0.072793237,-0.074827012,0.190529674,0.112480095,0.094434736,0.07037696
222,0.103883985,-0.079469926,-0.100072563,0.209053803,0.132379323,0.105595746,0.081584769
223,0.097794415,-0.105871767,-0.06136682,0.209320581,0.157492093,0.126082326,0.090229029
224,0.112621844,-0.102529422,-0.093566362,0.21546271,0.174736428,0.154160058,0.10226756
225,0.007927027,0.012880603,-0.078065864,0.043843686,0.053213355,-0.023525447,-0.034630712
226,0.111511981,-0.080725798,-0.011745436,0.191077828,0.175233209,0.147262953,0.114945019
227,0.029471122,-0.082014573,-0.061282616,0.208909634,0.100482477,0.044350843,0.036217836
228,0.126386909,-0.06887568,-0.063161507,0.286422571,0.209329322,0.169108379,0.105456311
229,0.025411533,-0.061862865,-0.0234959,0.096220622,0.058334298,0.0757716,0.028289681
230,-0.014359282,-0.0263001,-0.074381627,0.069325841,0.067747221,0.041336205,0.017020181
231,0.032653617,-0.119901021,-0.076797624,0.141237841,0.076993744,0.068121355,0.057930674
232,0.141621061,-0.059582736,-0.075056655,0.24895619,0.19453646,0.155915311,0.101687127
233,0.037948777,-0.103269933,-0.048650115,0.134083514,0.062922295,0.070086439,0.025511371
234,0.012459315,-0.047604149,-0.055232266,0.124680732,0.072794404,0.019178607,0.023295147
235,0.084523966,-0.033125149,0.020745625,0.179668588,0.132348317,0.094127711,0.055222363
236,-0.098085772,0.012922782,-0.079030502,-0.079836985,-0.021299709,-0.031066093,-0.033132212
237,-0.083354634,-0.09318579,-0.034962977,-0.00991062,0.079425957,0.046775173,-0.020552864
238,-0.020889498,-0.075224536,-0.091698634,0.03872687,0.023715026,0.013922805,-0.003693301
239,-0.103078732,-0.016252102,-0.026342075,-0.027323024,-0.068392024,-0.081242097,-0.063624135
240,0.062740645,-0.091863323,-0.034659176,0.229921003,0.135101411,0.110274251,0.060686677
241,0.146502515,-0.083753261,-0.039002166,0.277991833,0.201970502,0.166789726,0.116906892
242,0.056668274,-0.094150425,-0.04251586,0.199749749,0.145493891,0.134934966,0.096396787
243,0.105664731,-0.073835431,-0.036674355,0.262048902,0.165059007,0.107386453,0.068025456
244,0.063444235,-0.048439134,-0.023482116,0.114398464,0.134432773,0.07659879,0.029472599
245,0.026820233,-0.014403935,-0.079466837,0.182188867,0.120711483,0.089436084,0.036156487
246,0.080334347,-0.101295407,-0.082099624,0.206480211,0.10995856,0.082644034,0.05648937
247,0.070999141,-0.086228733,-0.062079741,0.164184179,0.133735847,0.056765851,0.027757262
248,-0.004914206,0.074311865,0.085264883,0.033975888,-0.049895708,-0.08498564,-0.080993244
249,0.110309467,-0.015236712,-0.075532752,0.204331174,0.127772007,0.101360973,0.065212173
250,0.027171876,-0.071233448,-0.056742173,0.198352188,0.113631436,0.072040869,0.034356655
251,-0.014008407,-0.071212526,-0.129511992,0.007419858,-0.097115271,-0.085353542,0.015019542
252,0.106718792,-0.080842509,-0.059366346,0.198859054,0.130477304,0.115176395,0.094838235
253,0.08309012,0.039857319,0.081263982,0.196173315,0.126701724,0.113801291,0.08793804
254,0.023829324,-0.115830131,-0.117046792,0.076927067,0.05880527,0.02748452,0.004288432
255,0.054499614,-0.079089341,-0.053159229,0.179696198,0.126241136,0.088820155,0.041012512
256,0.046755552,-0.088111755,-0.060403269,0.183730777,0.130758201,0.098765515,0.050972241
257,0.067684564,-0.105792858,-0.107052383,0.192423102,0.131329116,0.104957693,0.066037007
258,0.116709793,-0.077078221,-0.104072874,0.244217838,0.169115347,0.135236489,0.088444637
259,-0.00089766,-0.04862816,-0.01729987,0.156289434,0.10068137,0.07561702,0.040323407
260,0.059492764,-0.101044788,-0.08017587,0.250195695,0.165966736,0.136517725,0.098321198
261,0.027337736,-0.088477362,-0.109418526,0.18708745,0.101224138,0.060495258,0.019789861
262,0.117855033,-0.087360679,-0.086530371,0.229895362,0.183203145,0.14819663,0.104177856
263,0.012298951,-0.054405043,-0.028602045,0.082696515,0.026102757,0.042651778,0.021298622
264,0.105176784,-0.097686858,-0.091483627,0.253210393,0.181687225,0.148324618,0.117350287
265,0.051453332,-0.087737881,-0.057963049,0.178167919,0.127317514,0.065595882,0.033271299
266,0.073495315,-0.041343736,-0.014416741,0.135991707,0.09866915,0.090178644,0.069978686
267,0.093294883,-0.105629799,-0.086659683,0.162034489,0.09550891,0.079751457,0.072665378
268,-0.056885502,-0.110796427,-0.093656659,-0.003839313,-0.012784882,0.10715809,0.006471766
269,0.099253318,-0.047358303,-0.012084287,0.188292769,0.124882094,0.109527058,0.088529758
270,0.124664411,-0.107867261,-0.098301701,0.269062954,0.191296015,0.166441066,0.130186425
271,0.013888184,-0.021006804,-0.008977501,0.098915547,0.11814079,0.017371483,0.052146075
272,0.133321651,-0.083477466,-0.099918223,0.266432101,0.186663605,0.151362797,0.094970352
273,0.046249869,-0.075445321,-0.097065121,0.197460733,0.135094281,0.062452623,0.041771529
274,0.062194667,0.043807702,-0.027491255,0.175053391,0.107970889,0.079824604,0.051355879
275,0.025294709,-0.05079478,-0.095762084,0.075087804,0.062762116,0.022717016,0.019634751
276,-0.101737748,-0.101171458,-0.086750517,-0.094548263,-0.089608913,-0.080903413,-0.072022984
277,-0.092484398,-0.05600034,-0.08422295,0.046155404,0.021741437,0.016503899,0.005498129
278,0.056846347,-0.067912229,-0.021928532,0.102256546,0.054017904,0.036537704,0.060663377
279,0.04280658,-0.023012632,0.005930441,0.151080239,0.157322749,0.06969366,0.045396739
280,0.095949221,-0.062258328,-0.046120563,0.225214033,0.183850122,0.154127483,0.090042946
281,0.04616746,-0.114626984,-0.051749157,0.198213838,0.150599866,0.103273134,0.060384401
282,0.092921907,-0.093329665,-0.099173504,0.229293077,0.175617079,0.144455276,0.086616982
283,0.016437889,-0.05450242,-0.08890118,0.134139629,0.115474624,0.084429588,0.024477134
284,0.081473757,-0.098414703,-0.076170498,0.223158009,0.121279734,0.081648232,0.04912363
285,0.062903073,-0.102570794,-0.06991416,0.195472644,0.131555801,0.094865279,0.039240206
286,0.146375616,-0.105695255,-0.078361708,0.228727718,0.206146967,0.179677583,0.135247029
287,0.08894864,-0.090366087,-0.035643398,0.191690383,0.128151117,0.093987628,0.061274782
288,0.057526702,0.043516537,0.014163107,0.225057451,0.17262773,0.139479504,0.08974089
289,-0.019245195,-0.099551252,-0.08681341,0.006989018,0.009834618,0.049233703,-0.012381553
290,0.107725298,-0.11019386,-0.104000096,0.281090386,0.15498962,0.12356659,0.083769544
291,0.066049016,-0.092664917,-0.076223141,0.166020232,0.112672448,0.09780876,0.069104916
292,0.067747851,-0.07909273,-0.021014454,0.161003338,0.101134606,0.074040291,0.055573381
293,-0.004198261,0.077048627,0.123247843,0.158648069,0.14640631,0.153540382,0.070532359
294,0.019061459,-0.123130824,-0.093557255,0.136817494,0.067349001,0.061318091,0.042380466
295,0.074053727,-0.09783481,-0.090970353,0.222425463,0.133238891,0.117199642,0.060782169
296,0.105943596,-0.04095914,-0.027724466,0.152655674,0.154610093,0.1164225,0.090797194
297,-0.041048277,-0.099225862,-0.101603933,0.003068754,-0.031259321,-0.040406935,-0.033173495
298,0.025886703,0.081368985,0.079185166,0.086481932,0.155455178,0.046436195,0.070189862
299,0.080989183,-0.092299067,-0.060399911,0.222426671,0.15225466,0.095503968,0.056991471
300,0.036558842,0.040473258,0.001378993,0.249687179,0.117678414,0.083856624,0.032690695
301,0.091903172,-0.114367352,-0.097732243,0.212762728,0.170518713,0.12078646,0.084264519
302,0.007516921,-0.037167854,-0.11039085,0.147947617,0.08020335,0.031397231,-0.003757904
303,0.115058703,-0.046429841,-0.05986758,0.201524359,0.162915906,0.115540045,0.092090989
304,0.026075629,0.002104616,0.037562741,0.142282556,0.099670965,0.099215903,0.022756566
305,0.035293465,0.012838839,-0.047588761,0.134174866,0.08781763,0.042400362,0.043373841
306,0.065358264,-0.049067869,-0.091009158,0.174217938,0.100644916,0.096503266,0.073091325
307,-0.011811498,-0.07682672,-0.115727614,-0.132506594,-0.138178729,-0.137154139,-0.116779093
308,0.130356087,-0.084469411,-0.046881874,0.248763726,0.195411693,0.157774625,0.112597004
309,0.145010327,-0.072660212,-0.056232491,0.262810267,0.182283255,0.137645184,0.090699651
310,0.095854749,-0.097272362,-0.080394349,0.20627625,0.159994974,0.117362962,0.077141278
311,0.051712869,0.047968854,-0.02081419,0.159382555,0.095476054,0.065374889,0.033538036
312,-0.019615394,-0.117496658,-0.120094432,0.040352733,0.00615323,0.041229662,0.011913782
313,0.112654368,-0.044009734,-0.076786332,0.226472524,0.137835315,0.107819686,0.064658452
314,0.121715641,-0.051350388,-0.036980516,0.247007047,0.184613568,0.147939273,0.110516724
315,0.063889134,-0.081798405,-0.072245937,0.171838557,0.125557038,0.103321708,0.079654698
316,0.059546718,-0.048678008,-0.053326527,0.161556669,0.1045441,0.071235638,0.039274485
317,0.073747851,-0.069569127,-0.051034782,0.245856018,0.139006342,0.102740957,0.039238024
318,-0.140832242,-0.151262567,-0.143520477,-0.139833744,-0.126335951,-0.123830751,-0.115628643
319,-0.106650679,-0.075351509,0.122431951,-0.070528075,-0.040710718,-0.041500554,-0.029274355
320,-0.13367551,-0.119539548,-0.127287818,-0.09116319,-0.114881467,-0.105901906,-0.10487379
321,0.055391029,-0.014108274,-0.008964936,0.187102207,0.090342998,0.0779615,0.045283645
322,-0.006560511,-0.070739823,-0.049630877,0.149787758,0.096391837,0.030083777,0.016395031
323,0.029814969,-0.069978937,-0.089934579,0.151355871,0.094322248,0.05758537,0.024921393
324,0.073203906,-0.039129794,-0.035963339,0.172170613,0.136925238,0.110877392,0.071424431
325,0.11652203,-0.04096847,-0.027722496,0.229067082,0.148899406,0.134995516,0.094417959
326,0.089804172,-0.092761572,-0.078753657,0.068220347,0.058062251,0.062930121,0.074394193
327,0.046816668,-0.098844532,-0.094943494,0.114640192,0.017457463,0.012832925,0.034632638
